scenario_id,scenario_type,asset_type,threat_category,vulnerability_score,asset_importance,exposure_level,security_maturity,control_effectiveness,threat_intensity,incident_likelihood,data_sensitivity,estimated_financial_impact,risk_score,risk_level,response_priority
RISK-0809,Credential Compromise,Database Server,Vulnerability Exploitation,4.51,9,10,7,1,1,0.83,7,2487008,100.0,High,1순위
RISK-0810,Insider Threat,Endpoint PC,Vulnerability Exploitation,1.13,8,2,8,10,9,0.76,6,2269293,82.89,High,1순위
RISK-0811,Data Leakage,File Server,C2 Communication,9.85,8,7,1,9,3,0.57,7,2582805,100.0,High,1순위
RISK-0812,Data Leakage,VPN Server,Phishing,8.39,1,5,6,2,1,0.13,5,1754436,78.57,High,1순위
RISK-0813,Service Disruption,File Server,Brute Force,1.25,8,1,7,3,2,0.3,1,1634112,46.19,Medium,2순위
RISK-0814,Service Disruption,Database Server,DDoS,9.21,10,1,5,2,8,0.32,3,2374690,100.0,High,1순위
RISK-0815,Insider Threat,Endpoint PC,DDoS,8.7,3,9,5,8,5,0.55,3,2545383,100.0,High,1순위
RISK-0816,External Attack,Endpoint PC,Data Exfiltration,5.19,7,5,7,2,7,0.28,7,2820636,100.0,High,1순위
RISK-0817,Data Leakage,File Server,C2 Communication,5.91,1,1,3,10,6,0.12,3,823608,55.29,Medium,2순위
RISK-0818,Malware Infection,File Server,Phishing,3.99,1,7,6,2,1,0.71,5,1636361,74.13,High,1순위
RISK-0819,Service Disruption,Cloud Service,C2 Communication,0.55,10,9,7,1,6,0.32,4,2102665,100.0,High,1순위
RISK-0820,Data Leakage,File Server,Phishing,3.35,5,1,1,7,7,0.46,4,1286848,83.39,High,1순위
RISK-0821,Credential Compromise,Database Server,Vulnerability Exploitation,8.03,5,10,2,2,4,0.16,7,2251620,100.0,High,1순위
RISK-0822,Insider Threat,Web Server,Phishing,0.05,8,4,4,10,8,0.77,1,1974516,77.64,High,1순위
RISK-0823,Data Leakage,Cloud Service,Vulnerability Exploitation,3.33,7,3,8,5,8,0.56,7,1889316,100.0,High,1순위
RISK-0824,Data Leakage,Web Server,Vulnerability Exploitation,3.98,8,5,10,5,7,0.86,8,2817330,100.0,High,1순위
RISK-0825,Insider Threat,VPN Server,Brute Force,5.37,6,7,6,3,2,0.5,3,2764480,100.0,High,1순위
RISK-0826,Service Disruption,Database Server,Phishing,9.2,6,8,1,3,6,0.9,3,2109469,100.0,High,1순위
RISK-0827,Service Disruption,Cloud Service,Data Exfiltration,3.46,2,2,10,3,6,0.85,4,1070585,50.67,Medium,2순위
RISK-0828,Malware Infection,Endpoint PC,Data Exfiltration,3.47,6,7,5,6,7,0.57,6,3121747,100.0,High,1순위
RISK-0829,Malware Infection,Cloud Service,Phishing,7.38,5,1,7,4,6,0.89,7,2172444,100.0,High,1순위
RISK-0830,Service Disruption,VPN Server,Brute Force,4.52,3,7,6,3,2,0.34,1,1318386,66.34,Medium,2순위
RISK-0831,Service Disruption,Endpoint PC,Data Exfiltration,2.25,6,8,9,2,8,0.38,4,2109289,100.0,High,1순위
RISK-0832,Service Disruption,Cloud Service,C2 Communication,4.52,8,2,8,3,4,0.09,7,2467202,93.57,High,1순위
RISK-0833,Service Disruption,Endpoint PC,Data Exfiltration,1.41,9,9,4,4,9,0.58,2,2020037,100.0,High,1순위
RISK-0834,Data Leakage,File Server,Brute Force,1.76,1,1,5,6,8,0.7,1,1096955,47.01,Medium,2순위
RISK-0835,Malware Infection,Endpoint PC,Vulnerability Exploitation,4.98,3,6,7,4,3,0.75,1,1324337,74.39,High,1순위
RISK-0836,Insider Threat,Cloud Service,Vulnerability Exploitation,4.19,3,1,8,8,3,0.18,10,1524583,36.21,Low,3순위
RISK-0837,External Attack,Endpoint PC,Vulnerability Exploitation,9.15,8,3,5,3,8,0.45,6,3147641,100.0,High,1순위
RISK-0838,Insider Threat,Database Server,Brute Force,3.62,1,6,9,3,2,0.21,5,1648559,54.42,Medium,2순위
RISK-0839,Credential Compromise,File Server,Vulnerability Exploitation,5.81,5,3,10,3,9,0.65,1,1391527,100.0,High,1순위
RISK-0840,External Attack,File Server,Vulnerability Exploitation,6.32,3,8,4,8,4,0.19,10,2554737,100.0,High,1순위
RISK-0841,Data Leakage,VPN Server,Brute Force,0.13,2,5,4,4,6,0.86,3,1089244,70.86,High,1순위
RISK-0842,Credential Compromise,File Server,C2 Communication,6.64,8,2,8,1,3,0.26,7,2596123,100.0,High,1순위
RISK-0843,Malware Infection,Web Server,Data Exfiltration,1.78,3,4,1,2,3,0.31,9,1990637,96.44,High,1순위
RISK-0844,External Attack,Database Server,Brute Force,9.61,7,9,8,10,3,0.82,9,2600361,100.0,High,1순위
RISK-0845,Service Disruption,VPN Server,Brute Force,1.49,1,4,5,2,10,0.46,6,1294209,84.87,High,1순위
RISK-0846,Credential Compromise,Web Server,Phishing,4.15,6,10,1,3,2,0.07,3,2308073,100.0,High,1순위
RISK-0847,Data Leakage,Endpoint PC,Vulnerability Exploitation,0.85,3,10,4,6,8,0.5,1,1726827,90.68,High,1순위
RISK-0848,External Attack,Web Server,DDoS,9.97,8,8,2,8,9,0.13,3,1732893,100.0,High,1순위
RISK-0849,Service Disruption,VPN Server,C2 Communication,5.02,6,5,4,1,8,0.94,10,2297375,100.0,High,1순위
RISK-0850,Credential Compromise,File Server,DDoS,5.95,2,10,8,9,10,0.58,2,2258321,100.0,High,1순위
RISK-0851,Data Leakage,Database Server,Phishing,0.67,6,1,5,1,3,0.28,5,2032003,66.86,Medium,2순위
RISK-0852,Credential Compromise,VPN Server,C2 Communication,7.5,7,7,1,10,7,0.56,8,2404220,100.0,High,1순위
RISK-0853,External Attack,Web Server,Vulnerability Exploitation,2.1,5,3,7,2,10,0.12,5,2733189,99.39,High,1순위
RISK-0854,Service Disruption,Web Server,DDoS,8.98,3,10,1,3,2,0.77,1,1772383,100.0,High,1순위
RISK-0855,Malware Infection,VPN Server,Vulnerability Exploitation,2.05,4,8,9,7,4,0.88,3,1229502,63.39,Medium,2순위
RISK-0856,Data Leakage,Cloud Service,Vulnerability Exploitation,1.91,4,3,3,9,6,0.84,5,1896572,71.19,High,1순위
RISK-0857,External Attack,Cloud Service,Data Exfiltration,0.37,6,1,3,3,5,0.36,7,1817932,85.97,High,1순위
RISK-0858,Service Disruption,VPN Server,C2 Communication,4.72,10,5,6,8,9,0.34,5,2926508,100.0,High,1순위
RISK-0859,Malware Infection,Cloud Service,C2 Communication,5.65,1,2,10,9,10,0.08,10,2084924,79.65,High,1순위
RISK-0860,Credential Compromise,VPN Server,Phishing,0.66,4,4,6,10,4,0.64,5,982433,42.36,Medium,2순위
RISK-0861,Service Disruption,File Server,Brute Force,7.76,10,1,6,7,5,0.53,7,2169290,100.0,High,1순위
RISK-0862,Malware Infection,VPN Server,Vulnerability Exploitation,4.53,4,9,1,4,4,0.46,8,1991407,100.0,High,1순위
RISK-0863,External Attack,Endpoint PC,Vulnerability Exploitation,5.24,10,6,5,4,8,0.87,8,2188419,100.0,High,1순위
RISK-0864,Service Disruption,Database Server,DDoS,4.41,1,8,6,4,8,0.2,7,2304161,100.0,High,1순위
RISK-0865,Service Disruption,Database Server,Phishing,4.01,9,4,8,6,3,0.06,3,2334318,71.75,High,1순위
RISK-0866,Insider Threat,Endpoint PC,C2 Communication,5.6,4,9,1,4,1,0.12,2,1339757,100.0,High,1순위
RISK-0867,Data Leakage,Web Server,Data Exfiltration,1.55,7,2,5,5,6,0.25,1,1978493,62.95,Medium,2순위
RISK-0868,Service Disruption,Web Server,C2 Communication,1.82,3,9,3,9,2,0.08,6,1328828,66.47,Medium,2순위
RISK-0869,Malware Infection,Web Server,Data Exfiltration,8.62,10,5,2,7,2,0.5,9,3810958,100.0,High,1순위
RISK-0870,Data Leakage,Web Server,Data Exfiltration,9.46,3,6,8,8,3,0.33,3,1624589,92.89,High,1순위
RISK-0871,External Attack,File Server,C2 Communication,3.73,8,3,7,5,8,0.21,5,2825977,100.0,High,1순위
RISK-0872,Data Leakage,Endpoint PC,DDoS,2.71,8,4,10,5,3,0.73,9,2217586,84.08,High,1순위
RISK-0873,Insider Threat,Database Server,Vulnerability Exploitation,6.44,1,6,7,7,7,0.23,9,1766632,100.0,High,1순위
RISK-0874,External Attack,Endpoint PC,Data Exfiltration,4.09,10,7,5,8,10,0.67,7,2896535,100.0,High,1순위
RISK-0875,Service Disruption,Database Server,DDoS,0.25,2,1,9,9,10,0.36,4,1040521,33.38,Low,3순위
RISK-0876,Credential Compromise,Web Server,Phishing,1.56,8,7,5,2,9,0.51,2,2950293,100.0,High,1순위
RISK-0877,External Attack,File Server,Phishing,7.16,1,1,2,3,8,0.89,2,1612762,100.0,High,1순위
RISK-0878,External Attack,VPN Server,Data Exfiltration,6.59,8,5,3,2,1,0.08,4,2941949,100.0,High,1순위
RISK-0879,Insider Threat,VPN Server,Vulnerability Exploitation,0.27,8,6,4,10,7,0.5,1,2583379,79.39,High,1순위
RISK-0880,Malware Infection,Cloud Service,Data Exfiltration,2.22,2,2,5,7,7,0.82,4,1246122,63.86,Medium,2순위
RISK-0881,External Attack,Web Server,Phishing,2.31,4,10,3,2,8,0.58,6,2294603,100.0,High,1순위
RISK-0882,Malware Infection,Web Server,Phishing,6.72,6,9,7,2,10,0.3,6,2716671,100.0,High,1순위
RISK-0883,Data Leakage,Endpoint PC,C2 Communication,0.2,9,10,5,2,5,0.41,7,2493416,100.0,High,1순위
RISK-0884,Credential Compromise,File Server,Vulnerability Exploitation,1.04,8,6,5,4,10,0.66,5,2865611,100.0,High,1순위
RISK-0885,Insider Threat,File Server,C2 Communication,8.0,8,7,6,1,9,0.85,9,2800798,100.0,High,1순위
RISK-0886,Service Disruption,Endpoint PC,DDoS,1.79,7,10,7,2,9,0.09,2,2259336,100.0,High,1순위
RISK-0887,External Attack,File Server,DDoS,6.53,9,8,10,3,8,0.11,2,1820616,100.0,High,1순위
RISK-0888,Credential Compromise,File Server,DDoS,2.38,2,10,10,7,6,0.34,4,1579892,72.99,High,1순위
RISK-0889,Credential Compromise,VPN Server,Brute Force,0.99,3,1,8,10,6,0.26,4,1010694,25.75,Low,3순위
RISK-0890,Malware Infection,File Server,DDoS,2.43,10,8,9,1,1,0.29,4,2604833,98.75,High,1순위
RISK-0891,External Attack,Web Server,Data Exfiltration,7.22,8,4,4,6,6,0.25,1,1963165,100.0,High,1순위
RISK-0892,Credential Compromise,VPN Server,C2 Communication,8.56,6,10,5,3,4,0.23,4,2016873,100.0,High,1순위
RISK-0893,Insider Threat,Web Server,DDoS,8.3,10,8,5,3,4,0.17,5,2919778,100.0,High,1순위
RISK-0894,Service Disruption,Web Server,Vulnerability Exploitation,3.97,9,6,8,4,2,0.89,9,3318352,100.0,High,1순위
RISK-0895,Data Leakage,Endpoint PC,DDoS,6.68,10,9,9,4,4,0.18,3,2967897,100.0,High,1순위
RISK-0896,Data Leakage,Cloud Service,Data Exfiltration,2.05,4,4,7,7,5,0.23,3,1256626,56.09,Medium,2순위
RISK-0897,Malware Infection,File Server,Data Exfiltration,2.93,8,2,5,3,5,0.27,5,2492308,92.43,High,1순위
RISK-0898,Credential Compromise,File Server,Data Exfiltration,8.96,10,2,3,8,5,0.89,10,2877249,100.0,High,1순위
RISK-0899,Data Leakage,File Server,Data Exfiltration,0.13,3,5,1,8,4,0.73,6,1839969,58.43,Medium,2순위
RISK-0900,Malware Infection,File Server,Data Exfiltration,0.86,3,10,9,7,1,0.76,3,865518,52.7,Medium,2순위
RISK-0901,Service Disruption,VPN Server,Vulnerability Exploitation,2.08,8,9,5,2,10,0.14,1,1862627,100.0,High,1순위
RISK-0902,External Attack,Database Server,Brute Force,0.27,5,3,9,5,8,0.8,10,2901666,80.7,High,1순위
RISK-0903,Insider Threat,Web Server,Phishing,1.81,3,8,10,6,3,0.42,8,1514825,62.99,Medium,2순위
RISK-0904,Service Disruption,Cloud Service,Brute Force,5.83,10,4,4,10,2,0.29,1,2663941,92.78,High,1순위
RISK-0905,Service Disruption,Cloud Service,Phishing,4.21,1,6,5,4,9,0.57,2,1261451,100.0,High,1순위
RISK-0906,Data Leakage,Database Server,C2 Communication,8.93,3,10,4,10,7,0.79,3,2470277,100.0,High,1순위
RISK-0907,Data Leakage,Database Server,Data Exfiltration,8.17,9,6,2,5,9,0.75,6,2551633,100.0,High,1순위
RISK-0908,Insider Threat,Database Server,C2 Communication,3.42,5,3,1,9,2,0.85,4,2046210,75.84,High,1순위
RISK-0909,External Attack,VPN Server,C2 Communication,2.59,10,5,8,7,9,0.89,4,2358885,100.0,High,1순위
RISK-0910,Service Disruption,Database Server,Phishing,3.8,2,3,4,2,10,0.26,9,2648321,100.0,High,1순위
RISK-0911,Credential Compromise,VPN Server,Vulnerability Exploitation,5.9,7,1,5,1,9,0.43,6,2266728,100.0,High,1순위
RISK-0912,Data Leakage,Endpoint PC,Data Exfiltration,2.68,2,7,6,2,9,0.06,2,1823089,95.02,High,1순위
RISK-0913,Service Disruption,Endpoint PC,DDoS,6.24,4,4,8,3,10,0.84,7,1441729,100.0,High,1순위
RISK-0914,External Attack,Cloud Service,C2 Communication,4.09,7,7,8,2,10,0.19,3,2223827,100.0,High,1순위
RISK-0915,Malware Infection,Endpoint PC,Brute Force,5.52,4,3,7,3,4,0.83,9,2738256,100.0,High,1순위
RISK-0916,External Attack,VPN Server,Data Exfiltration,4.36,7,5,4,10,10,0.35,6,2226373,100.0,High,1순위
RISK-0917,Service Disruption,VPN Server,Vulnerability Exploitation,2.94,7,5,6,9,3,0.38,8,2725942,91.19,High,1순위
RISK-0918,Service Disruption,Web Server,Data Exfiltration,9.48,1,2,4,4,6,0.09,1,892615,89.9,High,1순위
RISK-0919,Insider Threat,Database Server,DDoS,7.64,6,10,7,9,3,0.34,2,2707701,100.0,High,1순위
RISK-0920,Service Disruption,File Server,DDoS,1.4,9,2,1,3,9,0.85,6,3533990,100.0,High,1순위
RISK-0921,Data Leakage,File Server,C2 Communication,8.68,2,4,5,1,3,0.07,3,1733751,100.0,High,1순위
RISK-0922,Credential Compromise,Database Server,Brute Force,4.87,3,4,10,5,2,0.42,1,663063,39.48,Low,3순위
RISK-0923,Insider Threat,File Server,C2 Communication,8.95,10,4,10,10,8,0.08,6,2884209,100.0,High,1순위
RISK-0924,Service Disruption,File Server,Vulnerability Exploitation,8.0,5,6,4,10,6,0.38,5,1426182,100.0,High,1순위
RISK-0925,External Attack,File Server,Phishing,4.25,9,2,7,2,8,0.21,9,3100548,100.0,High,1순위
RISK-0926,Service Disruption,Cloud Service,DDoS,0.22,4,6,9,4,7,0.28,6,1480766,72.08,High,1순위
RISK-0927,External Attack,VPN Server,Brute Force,2.69,1,7,5,2,3,0.84,5,1562569,87.66,High,1순위
RISK-0928,External Attack,VPN Server,DDoS,5.42,4,10,4,2,8,0.44,1,1233888,100.0,High,1순위
RISK-0929,Service Disruption,VPN Server,Vulnerability Exploitation,6.33,6,3,9,3,10,0.3,1,1492964,100.0,High,1순위
RISK-0930,External Attack,Database Server,Vulnerability Exploitation,2.58,5,8,5,5,1,0.58,1,1059414,71.04,High,1순위
RISK-0931,Credential Compromise,Endpoint PC,DDoS,1.39,1,2,9,4,1,0.18,7,538766,14.75,Low,3순위
RISK-0932,Malware Infection,Cloud Service,C2 Communication,8.35,4,8,8,2,10,0.28,6,2009865,100.0,High,1순위
RISK-0933,Insider Threat,Cloud Service,DDoS,9.84,6,5,4,10,8,0.54,5,1998588,100.0,High,1순위
RISK-0934,Service Disruption,File Server,C2 Communication,5.26,10,2,7,2,9,0.26,4,2926187,100.0,High,1순위
RISK-0935,Malware Infection,Web Server,DDoS,1.72,10,7,5,6,10,0.66,8,3464641,100.0,High,1순위
RISK-0936,External Attack,VPN Server,C2 Communication,2.72,4,2,10,7,6,0.49,8,1493303,61.48,Medium,2순위
RISK-0937,External Attack,Cloud Service,Phishing,0.18,9,6,4,10,5,0.74,5,2404368,96.08,High,1순위
RISK-0938,Insider Threat,Cloud Service,Data Exfiltration,9.14,5,10,5,6,2,0.9,4,2170443,100.0,High,1순위
RISK-0939,Malware Infection,Web Server,Data Exfiltration,1.18,8,3,5,7,9,0.15,2,1423813,81.23,High,1순위
RISK-0940,Malware Infection,File Server,C2 Communication,5.77,9,9,9,1,6,0.35,7,2388763,100.0,High,1순위
RISK-0941,Service Disruption,Cloud Service,C2 Communication,2.74,10,3,9,6,8,0.34,5,2845406,95.58,High,1순위
RISK-0942,External Attack,Cloud Service,Phishing,5.54,5,3,6,3,9,0.19,3,2198730,99.89,High,1순위
RISK-0943,Data Leakage,Endpoint PC,Data Exfiltration,6.51,6,5,4,1,9,0.78,9,1876555,100.0,High,1순위
RISK-0944,Service Disruption,Web Server,Phishing,8.3,1,7,2,8,8,0.73,9,2786227,100.0,High,1순위
RISK-0945,Service Disruption,File Server,Vulnerability Exploitation,2.06,7,8,3,4,10,0.49,10,2701987,100.0,High,1순위
RISK-0946,Service Disruption,File Server,DDoS,0.11,4,7,2,10,8,0.53,8,2269410,95.45,High,1순위
RISK-0947,Insider Threat,VPN Server,Data Exfiltration,1.37,2,9,5,8,3,0.1,1,595361,41.64,Medium,2순위
RISK-0948,Insider Threat,Endpoint PC,C2 Communication,9.0,5,5,6,10,3,0.55,3,1568266,98.92,High,1순위
RISK-0949,Service Disruption,File Server,Brute Force,8.74,3,10,5,4,2,0.76,2,1836342,100.0,High,1순위
RISK-0950,Credential Compromise,Endpoint PC,Vulnerability Exploitation,5.97,6,3,2,4,1,0.57,4,2079606,100.0,High,1순위
RISK-0951,Data Leakage,VPN Server,DDoS,6.01,8,6,5,10,4,0.29,2,2283177,96.44,High,1순위
RISK-0952,Malware Infection,Web Server,Brute Force,6.65,7,5,9,4,2,0.65,8,2778287,100.0,High,1순위
RISK-0953,Malware Infection,Cloud Service,Phishing,1.75,3,4,4,6,2,0.38,1,626623,41.44,Medium,2순위
RISK-0954,External Attack,Cloud Service,DDoS,9.14,8,2,10,9,5,0.54,4,2523871,100.0,High,1순위
RISK-0955,Malware Infection,Database Server,Phishing,4.19,2,7,2,5,4,0.49,5,1429327,89.51,High,1순위
RISK-0956,Malware Infection,Database Server,Phishing,3.83,10,5,3,10,1,0.39,10,2319020,100.0,High,1순위
RISK-0957,Data Leakage,Database Server,C2 Communication,5.19,9,4,3,8,9,0.7,4,2661859,100.0,High,1순위
RISK-0958,Malware Infection,Cloud Service,Phishing,0.47,4,8,9,8,4,0.85,8,1758821,68.92,Medium,2순위
RISK-0959,Data Leakage,Endpoint PC,Brute Force,1.66,1,9,4,4,5,0.05,2,1495150,69.06,Medium,2순위
RISK-0960,Insider Threat,Database Server,Vulnerability Exploitation,7.38,8,9,1,10,7,0.89,9,3403121,100.0,High,1순위
RISK-0961,Data Leakage,Web Server,C2 Communication,0.83,7,3,1,9,2,0.51,2,1395405,57.24,Medium,2순위
RISK-0962,Insider Threat,File Server,Vulnerability Exploitation,6.03,5,3,7,9,8,0.68,2,1550464,92.56,High,1순위
RISK-0963,Data Leakage,Endpoint PC,Phishing,2.45,10,5,7,5,2,0.82,2,2127390,87.93,High,1순위
RISK-0964,Service Disruption,Cloud Service,Data Exfiltration,3.89,5,5,2,6,10,0.47,10,1786105,100.0,High,1순위
RISK-0965,Credential Compromise,Web Server,DDoS,2.89,7,10,9,5,5,0.8,8,2387065,100.0,High,1순위
RISK-0966,Insider Threat,Cloud Service,C2 Communication,3.56,5,2,9,3,2,0.21,3,1479804,54.15,Medium,2순위
RISK-0967,Insider Threat,Endpoint PC,Phishing,7.19,8,1,5,8,2,0.19,10,2572965,100.0,High,1순위
RISK-0968,Malware Infection,Endpoint PC,C2 Communication,2.97,6,8,3,9,4,0.64,10,2811192,100.0,High,1순위
RISK-0969,Insider Threat,Endpoint PC,Data Exfiltration,5.66,5,3,3,4,4,0.83,8,2601277,100.0,High,1순위
RISK-0970,Data Leakage,VPN Server,Brute Force,4.76,9,1,3,9,8,0.85,7,3445573,100.0,High,1순위
RISK-0971,Service Disruption,File Server,Brute Force,6.64,2,1,6,9,6,0.63,10,1779001,93.58,High,1순위
RISK-0972,Service Disruption,Database Server,DDoS,9.37,1,2,4,7,10,0.52,4,2188496,100.0,High,1순위
RISK-0973,Malware Infection,VPN Server,Brute Force,7.33,8,6,8,8,8,0.35,7,2441128,100.0,High,1순위
RISK-0974,Data Leakage,File Server,Data Exfiltration,2.15,3,6,5,3,7,0.93,8,1702116,100.0,High,1순위
RISK-0975,Data Leakage,Cloud Service,Vulnerability Exploitation,0.31,7,3,1,5,10,0.34,6,3298499,100.0,High,1순위
RISK-0976,External Attack,Database Server,Data Exfiltration,2.62,10,4,9,3,4,0.72,6,3029169,100.0,High,1순위
RISK-0977,Insider Threat,VPN Server,Data Exfiltration,5.95,8,2,1,7,2,0.53,3,2565193,100.0,High,1순위
RISK-0978,Malware Infection,VPN Server,Phishing,0.51,6,2,6,6,9,0.6,5,2350377,82.27,High,1순위
RISK-0979,Service Disruption,Web Server,Brute Force,4.96,10,7,1,3,2,0.4,10,2894712,100.0,High,1순위
RISK-0980,Credential Compromise,VPN Server,C2 Communication,5.97,9,1,3,9,1,0.92,2,2178017,84.56,High,1순위
RISK-0981,External Attack,Endpoint PC,DDoS,3.34,7,7,10,1,8,0.56,5,1893709,100.0,High,1순위
RISK-0982,Data Leakage,Cloud Service,Vulnerability Exploitation,7.71,10,1,5,10,10,0.89,5,2130029,100.0,High,1순위
RISK-0983,Insider Threat,VPN Server,C2 Communication,1.07,5,6,10,3,9,0.06,7,2260613,86.25,High,1순위
RISK-0984,Service Disruption,Endpoint PC,Phishing,0.75,8,3,7,10,1,0.57,4,1222018,40.0,Low,3순위
RISK-0985,External Attack,File Server,Phishing,7.28,2,8,10,7,7,0.7,6,2112680,100.0,High,1순위
RISK-0986,Data Leakage,File Server,Vulnerability Exploitation,4.95,7,6,8,3,2,0.72,9,2535092,100.0,High,1순위
RISK-0987,Service Disruption,Endpoint PC,C2 Communication,6.88,4,2,9,3,6,0.86,4,1514567,100.0,High,1순위
RISK-0988,Service Disruption,Web Server,Vulnerability Exploitation,4.35,9,8,6,2,5,0.05,6,2636879,100.0,High,1순위
RISK-0989,Data Leakage,Web Server,Vulnerability Exploitation,2.46,1,5,9,9,1,0.05,9,659892,16.93,Low,3순위
RISK-0990,Data Leakage,File Server,Brute Force,8.19,7,8,8,4,2,0.48,10,2246900,100.0,High,1순위
RISK-0991,Malware Infection,Cloud Service,C2 Communication,7.99,6,8,9,10,2,0.08,1,1594110,82.77,High,1순위
RISK-0992,Service Disruption,VPN Server,Brute Force,6.95,8,6,10,6,10,0.93,8,2459916,100.0,High,1순위
RISK-0993,Data Leakage,File Server,Brute Force,2.72,5,2,4,2,10,0.25,1,1479479,94.76,High,1순위
RISK-0994,Credential Compromise,File Server,DDoS,5.9,1,8,9,9,6,0.48,4,1380506,80.15,High,1순위
RISK-0995,Credential Compromise,Endpoint PC,Brute Force,3.61,1,6,7,7,1,0.11,3,924746,32.66,Low,3순위
RISK-0996,External Attack,Web Server,Data Exfiltration,0.92,9,6,5,10,4,0.52,4,1757390,79.56,High,1순위
RISK-0997,Insider Threat,Cloud Service,Phishing,9.17,10,8,5,5,10,0.39,7,2968859,100.0,High,1순위
RISK-0998,Credential Compromise,Endpoint PC,Phishing,1.37,6,1,1,7,5,0.09,9,2123902,82.52,High,1순위
RISK-0999,Malware Infection,File Server,Data Exfiltration,9.5,10,2,2,4,2,0.35,9,2819259,100.0,High,1순위
RISK-1000,Data Leakage,Database Server,Vulnerability Exploitation,4.46,5,9,10,10,2,0.4,10,2320062,86.57,High,1순위
RISK-1001,Insider Threat,VPN Server,C2 Communication,1.85,1,8,3,7,7,0.94,1,1739513,83.58,High,1순위
RISK-1002,Malware Infection,File Server,C2 Communication,5.42,6,7,8,2,7,0.24,10,2588947,100.0,High,1순위
RISK-1003,Service Disruption,Endpoint PC,C2 Communication,8.73,6,7,6,7,6,0.54,1,2317404,100.0,High,1순위
RISK-1004,Insider Threat,Database Server,Brute Force,7.32,3,5,10,4,1,0.94,9,2384173,100.0,High,1순위
RISK-1005,Credential Compromise,Database Server,C2 Communication,8.07,8,2,5,4,3,0.76,4,1803325,100.0,High,1순위
RISK-1006,Malware Infection,File Server,C2 Communication,6.59,1,6,1,1,9,0.94,3,2305368,100.0,High,1순위
RISK-1007,Data Leakage,Cloud Service,C2 Communication,6.92,1,10,9,3,10,0.92,9,2078083,100.0,High,1순위
RISK-1008,Data Leakage,Web Server,Phishing,8.49,6,3,3,5,1,0.49,5,1537680,100.0,High,1순위
RISK-1009,Malware Infection,Database Server,Data Exfiltration,2.5,10,4,3,5,2,0.68,6,2175272,100.0,High,1순위
RISK-1010,Service Disruption,VPN Server,DDoS,4.89,1,10,2,2,8,0.15,1,1357797,100.0,High,1순위
RISK-1011,Credential Compromise,Endpoint PC,Vulnerability Exploitation,2.21,6,2,4,4,7,0.45,1,1299307,80.86,High,1순위
RISK-1012,Malware Infection,Endpoint PC,Data Exfiltration,9.88,1,2,2,1,9,0.78,7,1975710,100.0,High,1순위
RISK-1013,External Attack,Endpoint PC,C2 Communication,9.44,6,8,9,9,10,0.5,10,2530031,100.0,High,1순위
RISK-1014,Malware Infection,File Server,Vulnerability Exploitation,0.39,3,8,10,1,4,0.68,8,1749340,77.59,High,1순위
RISK-1015,Malware Infection,Endpoint PC,Vulnerability Exploitation,7.06,8,10,7,6,4,0.72,8,2197201,100.0,High,1순위
RISK-1016,Credential Compromise,Endpoint PC,Data Exfiltration,9.25,6,6,8,7,7,0.28,7,2973796,100.0,High,1순위
RISK-1017,Data Leakage,VPN Server,Data Exfiltration,1.81,1,5,3,3,1,0.84,9,1354482,74.28,High,1순위
RISK-1018,Service Disruption,Web Server,Data Exfiltration,5.68,5,8,6,1,10,0.46,1,1918291,100.0,High,1순위
RISK-1019,Malware Infection,Cloud Service,DDoS,9.15,8,4,10,7,9,0.24,2,2569075,100.0,High,1순위
RISK-1020,Insider Threat,File Server,Data Exfiltration,0.34,3,4,6,3,2,0.83,3,856754,45.28,Medium,2순위
RISK-1021,Data Leakage,File Server,DDoS,6.97,6,5,1,10,1,0.43,5,2031942,97.18,High,1순위
RISK-1022,Data Leakage,Endpoint PC,Brute Force,2.97,5,1,6,6,7,0.73,4,1742603,85.25,High,1순위
RISK-1023,Malware Infection,VPN Server,Phishing,9.24,6,1,3,6,6,0.54,4,1836105,100.0,High,1순위
RISK-1024,Credential Compromise,Database Server,DDoS,9.71,10,2,3,4,3,0.39,8,2837750,100.0,High,1순위
RISK-1025,Insider Threat,Endpoint PC,Phishing,9.44,1,8,3,6,1,0.78,8,2248222,100.0,High,1순위
RISK-1026,Malware Infection,Endpoint PC,C2 Communication,4.74,7,7,10,10,5,0.58,7,2297518,95.98,High,1순위
RISK-1027,Insider Threat,File Server,Brute Force,8.62,9,10,10,4,10,0.4,1,2183219,100.0,High,1순위
RISK-1028,Data Leakage,File Server,Vulnerability Exploitation,8.45,2,9,8,8,4,0.15,10,1948075,100.0,High,1순위
RISK-1029,Insider Threat,Endpoint PC,Data Exfiltration,3.19,10,5,5,9,5,0.86,4,2750578,100.0,High,1순위
RISK-1030,Malware Infection,File Server,C2 Communication,8.29,5,2,4,2,1,0.08,1,1316940,86.15,High,1순위
RISK-1031,External Attack,VPN Server,Vulnerability Exploitation,0.37,10,7,9,7,1,0.83,5,2103626,81.31,High,1순위
RISK-1032,External Attack,Database Server,Phishing,5.96,4,8,9,9,5,0.37,3,1383716,89.35,High,1순위
RISK-1033,Insider Threat,Database Server,Vulnerability Exploitation,2.3,6,7,1,9,6,0.63,3,1553877,100.0,High,1순위
RISK-1034,Credential Compromise,Database Server,Data Exfiltration,1.21,6,7,2,5,5,0.88,4,2261252,100.0,High,1순위
